Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Han,2024-04-06 21:59:58,00:23:31,,The Midnight Gospel: 1. Sezon: Tutulmanın Kaplumbağaları (Bölüm 7),,Chrome PC (Cadmium),00:23:41,00:23:41,TR (Turkey)
Han,2024-04-06 21:59:45,00:00:11,,The Midnight Gospel: 1. Sezon: Subaylar ve Kurtlar (Bölüm 2),,Chrome PC (Cadmium),00:08:49,00:08:49,TR (Turkey)
Han,2024-04-06 21:59:23,00:00:06,Autoplayed: user action: None; ,Dexter: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:06,Not latest view,TR (Turkey)
Han,2024-04-06 21:55:15,00:03:23,,3 Cisim Problemi: 1. Sezon: Geri Sayım (Bölüm 1),,Chrome PC (Cadmium),00:50:28,Not latest view,TR (Turkey)
Han,2024-04-06 21:55:05,00:00:09,,3 Cisim Problemi: 1. Sezon: Efendimiz (Bölüm 4),,Chrome PC (Cadmium),00:00:09,Not latest view,TR (Turkey)
Han,2024-04-06 21:54:55,00:00:04,Autoplayed: user action: None; ,2. Sezon (3. Kısa Video): En Güçlü 100,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,TR (Turkey)
Han,2024-03-30 01:34:04,00:01:54,Autoplayed: user action: None; ,3 Cisim Problemi: 1. Sezon: Efendimiz (Bölüm 4),,Chrome PC (Cadmium),00:02:00,Not latest view,TR (Turkey)
Han,2024-03-30 00:44:36,00:49:26,,3 Cisim Problemi: 1. Sezon: Dünyaların Yok Edicisi (Bölüm 3),,Chrome PC (Cadmium),00:49:33,Not latest view,TR (Turkey)
Han,2024-03-29 23:44:54,00:59:41,,3 Cisim Problemi: 1. Sezon: Kızıl Kıyı (Bölüm 2),,Chrome PC (Cadmium),00:59:47,Not latest view,TR (Turkey)
Han,2024-03-29 22:48:18,00:56:36,,3 Cisim Problemi: 1. Sezon: Geri Sayım (Bölüm 1),,Chrome PC (Cadmium),00:56:36,Not latest view,TR (Turkey)
Han,2024-03-29 22:48:10,00:00:06,Autoplayed: user action: None; ,1. Sezon (4. Kısa Video): 3 Cisim Problemi,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,TR (Turkey)
Han,2024-03-17 19:03:46,00:00:04,Autoplayed: user action: None; ,Pixels - CLM 6,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,TR (Turkey)
Han,2024-03-17 19:02:57,00:00:10,Autoplayed: user action: None; ,Ford v. Ferrari_hook_01_16x9,HOOK,Chrome PC (Cadmium),00:00:10,00:00:10,TR (Turkey)
Han,2024-03-16 17:13:07,00:00:10,Autoplayed: user action: None; ,Ford v. Ferrari_hook_01_16x9,HOOK,Samsung 2018 Kant-M2 UHD TV Smart TV,00:00:10,Not latest view,TR (Turkey)
Han,2024-03-13 14:35:07,00:11:48,,Damsel,,Chrome PC (Cadmium),00:15:24,00:15:24,TR (Turkey)
Han,2024-03-12 21:52:42,00:11:15,,Bir Astronotun Sonsuz Yolculuğu,,Chrome PC (Cadmium),00:41:58,00:41:58,TR (Turkey)
Han,2024-03-03 20:42:47,00:38:16,,Bir Astronotun Sonsuz Yolculuğu,,Chrome PC (Cadmium),00:39:14,Not latest view,TR (Turkey)
Han,2024-03-03 20:42:39,00:00:06,Autoplayed: user action: None; ,Bir Astronotun Sonsuz Yolculuğu (2. Kısa Video): Bir Astronotun Sonsuz Yolculuğu,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,TR (Turkey)
Han,2024-03-03 20:29:02,00:00:04,Autoplayed: user action: None; ,1. Sezon (Kısa Video): House of Ninjas,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,TR (Turkey)
Han,2024-03-03 20:28:35,00:00:10,Autoplayed: user action: None; ,Fragman: Kuvvetli Bir Alkış,TRAILER,Chrome PC (Cadmium),00:00:10,00:00:10,TR (Turkey)
